"file","line","token","context"
"Readme.txt","536","-straps","""-mvddc"", ""-ppf"", ""-straps"", ""-vmt1"", ""-vmt2"", ""-vmt3"", ""-vmr"")."
"Readme.txt","536","-vmr","""-mvddc"", ""-ppf"", ""-straps"", ""-vmt1"", ""-vmt2"", ""-vmt3"", ""-vmr"")."
"Readme.txt","536","-vmt1","""-mvddc"", ""-ppf"", ""-straps"", ""-vmt1"", ""-vmt2"", ""-vmt3"", ""-vmr"")."
"Readme.txt","536","-vmt2","""-mvddc"", ""-ppf"", ""-straps"", ""-vmt1"", ""-vmt2"", ""-vmt3"", ""-vmr"")."
"Readme.txt","536","-vmt3","""-mvddc"", ""-ppf"", ""-straps"", ""-vmt1"", ""-vmt2"", ""-vmt3"", ""-vmr"")."
"Readme.txt","893","-mt","-mt <n>"
"Readme.txt","899","-mt","Do not reset memory timing level (""-mt"") to 0 when closing"
"Readme.txt","928","-straps","-straps <n>"
"Readme.txt","932","-vmt1","predefined combination of memory timings (""-vmt1"", ""-vmt2"","
"Readme.txt","932","-vmt2","predefined combination of memory timings (""-vmt1"", ""-vmt2"","
"Readme.txt","933","-vmr","""-vmt3"", ""-vmr""). Strap level 3 is the fastest predefined level and"
"Readme.txt","933","-vmt3","""-vmt3"", ""-vmr""). Strap level 3 is the fastest predefined level and"
"Readme.txt","936","-vmr","but with less aggressive refresh rates (i.e. lower ""-vmr"" values)."
"Readme.txt","938","-straps","-straps <n>"
"Readme.txt","945","-vmt1","lead to crashes or instability. ""-vmt1"", ""-vmt2"", and ""-vmt3"""
"Readme.txt","945","-vmt2","lead to crashes or instability. ""-vmt1"", ""-vmt2"", and ""-vmt3"""
"Readme.txt","945","-vmt3","lead to crashes or instability. ""-vmt1"", ""-vmt2"", and ""-vmt3"""
"Readme.txt","948","-vmt1","-vmt1 <n>"
"Readme.txt","951","-vmt2","-vmt2 <n>"
"Readme.txt","954","-vmt3","-vmt3 <n>"
"Readme.txt","957","-vmr","-vmr <n>"
"Readme.txt","961","-nvmem","-nvmem <n>"
"Readme.txt","965","-straps","you try to use ""-straps"" or any other memory timing option, the"
"Readme.txt","973","-vmr","""-vmr"" values that are showed in the log file, and then use ""-vmr"""
"Readme.txt","1169","-straps","* The AMD memory timing options (""-rxboost"", ""-vmr"", ""-straps""),"
"Readme.txt","1169","-vmr","* The AMD memory timing options (""-rxboost"", ""-vmr"", ""-straps""),"
"Readme.txt","1170","-mt","with the notable exception of ""-mt"", also require running as"
"Readme.txt","1173","-straps","* When using the VRAM timing options (""-straps"", ""-vmt1"", ""-vmt2"","
"Readme.txt","1173","-vmt1","* When using the VRAM timing options (""-straps"", ""-vmt1"", ""-vmt2"","
"Readme.txt","1173","-vmt2","* When using the VRAM timing options (""-straps"", ""-vmt1"", ""-vmt2"","
"Readme.txt","1174","-vmr","""-vmt3"", ""-vmr""), start with lower values and make sure that the"
"Readme.txt","1174","-vmt3","""-vmt3"", ""-vmr""), start with lower values and make sure that the"
"Readme.txt","1176","-straps","You can use ""-straps"" along with the other options. For example"
"Readme.txt","1177","-straps","""-straps 1"" ""-vmt1 60"" will use the timings from 1st strap level but"
"Readme.txt","1177","-vmt1","""-straps 1"" ""-vmt1 60"" will use the timings from 1st strap level but"
"Readme.txt","1178","-vmt1","-vmt1 will be set to 60 instead of whatever value is specified by"
"Readme.txt","1179","-straps","the 1st strap level. In such case the ""-straps"" option must be"
"Readme.txt","1182","-vmt3","* Generally, the ""-vmt3"" option has little effect on the hashrate,"
"ReleaseNotes.txt","259","-vmr","- Added -rxboost parameter (also accessible via -vmr) to boost the performance of GDDR5"
"ReleaseNotes.txt","261","-straps","- Added memory straps support for AMD Vega cards. Use the -straps command-line option"
"ReleaseNotes.txt","262","-straps","to activate it (example: -straps 1 will activate the lowest strap level)"
"ReleaseNotes.txt","271","-nvmem","- Adding new parameter -nvmem to force using straps even on unsupported Nvidia GPUs (use -nvmem 1 for GDDR5 cards,"
"ReleaseNotes.txt","272","-nvmem","or -nvmem 2 for GDDR5X cards)"
"ReleaseNotes.txt","279","-straps","line parameter -straps, -vmt1, -vmt2, -vmt3, and -vmr for more information)"
"ReleaseNotes.txt","279","-vmr","line parameter -straps, -vmt1, -vmt2, -vmt3, and -vmr for more information)"
"ReleaseNotes.txt","279","-vmt1","line parameter -straps, -vmt1, -vmt2, -vmt3, and -vmr for more information)"
"ReleaseNotes.txt","279","-vmt2","line parameter -straps, -vmt1, -vmt2, -vmt3, and -vmr for more information)"
"ReleaseNotes.txt","279","-vmt3","line parameter -straps, -vmt1, -vmt2, -vmt3, and -vmr for more information)"
"ReleaseNotes.txt","410","-mt","- Added new parameter -mt to set the memory timings on AMD cards. -mt 0 is the"
"ReleaseNotes.txt","411","-mt","default, which uses the VBIOS memory timings. -mt 1, and -mt 2 use predefined"
