"export_name","transport_hint"
"DetectI2CDevice","False"
"FindVGAChip","True"
"GetBIOSMapBaseAddress","True"
"GetBYTEVGABIOSData","True"
"GetBYTEVGAMMIOData","True"
"GetDWORDVGABIOSData","True"
"GetDWORDVGAMMIOData","True"
"GetPcicfgAddr","True"
"GetVGABIOSAddress","True"
"GetVGAMMIOAddress","True"
"GetWORDVGABIOSData","True"
"GetWORDVGAMMIOData","True"
"IsASUSVGACard","True"
"PortDefine_DetectI2C","False"
"Read_2_MMIOByte","True"
"Read_2_MMIODword","True"
"Read_2_MMIOWord","True"
"ReadBIOSMMIOByte","True"
"ReadBIOSMMIODword","True"
"ReadBIOSMMIOWord","True"
"ReadI2C","True"
"ReadI2CByte","True"
"ReadMMIOByte","True"
"ReadMMIODword","True"
"ReadMMIOWord","True"
"Write_2_MMIOByte","True"
"Write_2_MMIODword","True"
"Write_2_MMIOWord","True"
"WriteBIOSMMIOByte","True"
"WriteBIOSMMIODword","True"
"WriteBIOSMMIOWord","True"
"WriteBYTEVGAMMIOData","True"
"WriteDWORDVGAMMIOData","True"
"WriteI2C","True"
"WriteI2CByte","True"
"WriteMMIOByte","True"
"WriteMMIODword","True"
"WriteMMIOWord","True"
"WriteRegistrySZ","True"
"WriteWORDVGAMMIOData","True"
