"symbol","category","source","confidence"
"CreateFileW","IOCTL_PATH","EIO.exe","strongly_inferred"
"CreateFileW","IOCTL_PATH","PhoenixMiner.exe","strongly_inferred"
"CreateServiceA","SCM","EIO.dll","strongly_inferred"
"DeviceIoControl","IOCTL_PATH","EIO.dll","strongly_inferred"
"DeviceIoControl","IOCTL_PATH","PhoenixMiner.exe","strongly_inferred"
"GetProcAddress","WINAPI_RUNTIME","EIO.dll","strongly_inferred"
"GetProcAddress","WINAPI_RUNTIME","EIO.exe","strongly_inferred"
"GetProcAddress","WINAPI_RUNTIME","PhoenixMiner.exe","strongly_inferred"
"LoadLibraryA","WINAPI_RUNTIME","EIO.dll","strongly_inferred"
"LoadLibraryA","WINAPI_RUNTIME","EIO.exe","strongly_inferred"
"LoadLibraryA","WINAPI_RUNTIME","PhoenixMiner.exe","strongly_inferred"
"LoadLibraryExA","WINAPI_RUNTIME","PhoenixMiner.exe","strongly_inferred"
"LoadLibraryExW","WINAPI_RUNTIME","EIO.exe","strongly_inferred"
"LoadLibraryExW","WINAPI_RUNTIME","PhoenixMiner.exe","strongly_inferred"
"LoadLibraryW","WINAPI_RUNTIME","PhoenixMiner.exe","strongly_inferred"
"nvcuda.dll","NVAPI/NVML/NVCUDA","PhoenixMiner.exe","strongly_inferred"
"StartServiceA","SCM","EIO.dll","strongly_inferred"
