"dll","import_name","kind"
"ADVAPI32.dll","CryptAcquireContextA","name"
"ADVAPI32.dll","CryptCreateHash","name"
"ADVAPI32.dll","CryptDestroyHash","name"
"ADVAPI32.dll","CryptGenRandom","name"
"ADVAPI32.dll","CryptGetHashParam","name"
"ADVAPI32.dll","CryptHashData","name"
"ADVAPI32.dll","CryptReleaseContext","name"
"ADVAPI32.dll","DeregisterEventSource","name"
"ADVAPI32.dll","RegCloseKey","name"
"ADVAPI32.dll","RegEnumValueA","name"
"ADVAPI32.dll","RegGetValueW","name"
"ADVAPI32.dll","RegisterEventSourceW","name"
"ADVAPI32.dll","RegOpenKeyExA","name"
"ADVAPI32.dll","RegOpenKeyExW","name"
"ADVAPI32.dll","RegQueryValueExA","name"
"ADVAPI32.dll","RegQueryValueExW","name"
"ADVAPI32.dll","RegSetValueExW","name"
"ADVAPI32.dll","ReportEventW","name"
"CFGMGR32.dll","CM_Get_Child","name"
"CFGMGR32.dll","CM_Get_Device_ID_List_SizeW","name"
"CFGMGR32.dll","CM_Get_Device_ID_ListW","name"
"CFGMGR32.dll","CM_Get_Device_IDW","name"
"CFGMGR32.dll","CM_Get_DevNode_PropertyW","name"
"CFGMGR32.dll","CM_Get_DevNode_Status","name"
"CFGMGR32.dll","CM_Get_Sibling","name"
"CFGMGR32.dll","CM_Locate_DevNodeW","name"
"CFGMGR32.dll","CM_Open_DevNode_Key","name"
"CRYPT32.dll","CertCloseStore","name"
"CRYPT32.dll","CertEnumCertificatesInStore","name"
"CRYPT32.dll","CertFreeCertificateContext","name"
"CRYPT32.dll","CertOpenSystemStoreA","name"
"KERNEL32.dll","AreFileApisANSI","name"
"KERNEL32.dll","ChangeTimerQueueTimer","name"
"KERNEL32.dll","CloseHandle","name"
"KERNEL32.dll","CompareStringW","name"
"KERNEL32.dll","CreateEventW","name"
"KERNEL32.dll","CreateFileA","name"
"KERNEL32.dll","CreateFileW","name"
"KERNEL32.dll","CreateIoCompletionPort","name"
"KERNEL32.dll","CreateMutexW","name"
"KERNEL32.dll","CreateProcessA","name"
"KERNEL32.dll","CreateSemaphoreA","name"
"KERNEL32.dll","CreateThread","name"
"KERNEL32.dll","CreateTimerQueue","name"
"KERNEL32.dll","CreateTimerQueueTimer","name"
"KERNEL32.dll","CreateToolhelp32Snapshot","name"
"KERNEL32.dll","CreateWaitableTimerA","name"
"KERNEL32.dll","DecodePointer","name"
"KERNEL32.dll","DeleteCriticalSection","name"
"KERNEL32.dll","DeleteFileW","name"
"KERNEL32.dll","DeleteTimerQueueTimer","name"
"KERNEL32.dll","DeviceIoControl","name"
"KERNEL32.dll","DuplicateHandle","name"
"KERNEL32.dll","EncodePointer","name"
"KERNEL32.dll","EnterCriticalSection","name"
"KERNEL32.dll","EnumSystemLocalesW","name"
"KERNEL32.dll","ExitProcess","name"
"KERNEL32.dll","ExitThread","name"
"KERNEL32.dll","ExpandEnvironmentStringsA","name"
"KERNEL32.dll","FileTimeToSystemTime","name"
"KERNEL32.dll","FindClose","name"
"KERNEL32.dll","FindFirstFileExA","name"
"KERNEL32.dll","FindFirstFileW","name"
"KERNEL32.dll","FindNextFileA","name"
"KERNEL32.dll","FindNextFileW","name"
"KERNEL32.dll","FlushConsoleInputBuffer","name"
"KERNEL32.dll","FlushFileBuffers","name"
"KERNEL32.dll","FormatMessageA","name"
"KERNEL32.dll","FreeEnvironmentStringsW","name"
"KERNEL32.dll","FreeLibrary","name"
"KERNEL32.dll","FreeLibraryAndExitThread","name"
"KERNEL32.dll","GetACP","name"
"KERNEL32.dll","GetCommandLineA","name"
"KERNEL32.dll","GetCommandLineW","name"
"KERNEL32.dll","GetConsoleCP","name"
"KERNEL32.dll","GetConsoleMode","name"
"KERNEL32.dll","GetCPInfo","name"
"KERNEL32.dll","GetCurrentDirectoryW","name"
"KERNEL32.dll","GetCurrentProcess","name"
"KERNEL32.dll","GetCurrentProcessId","name"
"KERNEL32.dll","GetCurrentThread","name"
"KERNEL32.dll","GetCurrentThreadId","name"
"KERNEL32.dll","GetDateFormatW","name"
"KERNEL32.dll","GetDriveTypeW","name"
"KERNEL32.dll","GetEnvironmentStringsW","name"
"KERNEL32.dll","GetExitCodeProcess","name"
"KERNEL32.dll","GetExitCodeThread","name"
"KERNEL32.dll","GetFileAttributesExW","name"
"KERNEL32.dll","GetFileAttributesW","name"
"KERNEL32.dll","GetFileTime","name"
"KERNEL32.dll","GetFileType","name"
"KERNEL32.dll","GetFullPathNameW","name"
"KERNEL32.dll","GetLastError","name"
"KERNEL32.dll","GetLocaleInfoW","name"
"KERNEL32.dll","GetLocalTime","name"
"KERNEL32.dll","GetLogicalProcessorInformation","name"
"KERNEL32.dll","GetModuleFileNameA","name"
"KERNEL32.dll","GetModuleFileNameW","name"
"KERNEL32.dll","GetModuleHandleA","name"
"KERNEL32.dll","GetModuleHandleExW","name"
"KERNEL32.dll","GetModuleHandleW","name"
"KERNEL32.dll","GetNativeSystemInfo","name"
"KERNEL32.dll","GetNumaHighestNodeNumber","name"
"KERNEL32.dll","GetNumberOfConsoleInputEvents","name"
"KERNEL32.dll","GetOEMCP","name"
"KERNEL32.dll","GetProcAddress","name"
"KERNEL32.dll","GetProcessAffinityMask","name"
"KERNEL32.dll","GetProcessHeap","name"
"KERNEL32.dll","GetQueuedCompletionStatus","name"
"KERNEL32.dll","GetStartupInfoW","name"
"KERNEL32.dll","GetStdHandle","name"
"KERNEL32.dll","GetStringTypeW","name"
"KERNEL32.dll","GetSystemDirectoryA","name"
"KERNEL32.dll","GetSystemDirectoryW","name"
"KERNEL32.dll","GetSystemInfo","name"
"KERNEL32.dll","GetSystemTime","name"
"KERNEL32.dll","GetSystemTimeAsFileTime","name"
"KERNEL32.dll","GetThreadPriority","name"
"KERNEL32.dll","GetThreadTimes","name"
"KERNEL32.dll","GetTickCount","name"
"KERNEL32.dll","GetTickCount64","name"
"KERNEL32.dll","GetTimeFormatW","name"
"KERNEL32.dll","GetTimeZoneInformation","name"
"KERNEL32.dll","GetUserDefaultLCID","name"
"KERNEL32.dll","GetVersionExW","name"
"KERNEL32.dll","GlobalMemoryStatus","name"
"KERNEL32.dll","GlobalMemoryStatusEx","name"
"KERNEL32.dll","HeapAlloc","name"
"KERNEL32.dll","HeapCreate","name"
"KERNEL32.dll","HeapDestroy","name"
"KERNEL32.dll","HeapFree","name"
"KERNEL32.dll","HeapReAlloc","name"
"KERNEL32.dll","HeapSize","name"
"KERNEL32.dll","InitializeCriticalSection","name"
"KERNEL32.dll","InitializeCriticalSectionAndSpinCount","name"
"KERNEL32.dll","InitializeSListHead","name"
"KERNEL32.dll","InitOnceExecuteOnce","name"
"KERNEL32.dll","InterlockedFlushSList","name"
"KERNEL32.dll","InterlockedPopEntrySList","name"
"KERNEL32.dll","InterlockedPushEntrySList","name"
"KERNEL32.dll","IsBadReadPtr","name"
"KERNEL32.dll","IsBadWritePtr","name"
"KERNEL32.dll","IsDebuggerPresent","name"
"KERNEL32.dll","IsProcessorFeaturePresent","name"
"KERNEL32.dll","IsValidCodePage","name"
"KERNEL32.dll","IsValidLocale","name"
"KERNEL32.dll","LCMapStringW","name"
"KERNEL32.dll","LeaveCriticalSection","name"
"KERNEL32.dll","LoadLibraryA","name"
"KERNEL32.dll","LoadLibraryExA","name"
"KERNEL32.dll","LoadLibraryExW","name"
"KERNEL32.dll","LoadLibraryW","name"
"KERNEL32.dll","LocalAlloc","name"
"KERNEL32.dll","LocalFileTimeToFileTime","name"
"KERNEL32.dll","LocalFree","name"
"KERNEL32.dll","MoveFileExW","name"
