"file","import_dll"
"EIO.dll","ADVAPI32.dll"
"EIO.dll","KERNEL32.dll"
"EIO.dll","USER32.dll"
"EIO.dll","VERSION.dll"
"EIO.exe","KERNEL32.dll"
"PhoenixMiner.exe.bin","ADVAPI32.dll"
"PhoenixMiner.exe.bin","CFGMGR32.dll"
"PhoenixMiner.exe.bin","CRYPT32.dll"
"PhoenixMiner.exe.bin","KERNEL32.dll"
"PhoenixMiner.exe.bin","MSWSOCK.dll"
"PhoenixMiner.exe.bin","ole32.dll"
"PhoenixMiner.exe.bin","PSAPI.DLL"
"PhoenixMiner.exe.bin","USER32.dll"
"PhoenixMiner.exe.bin","WINTRUST.dll"
"PhoenixMiner.exe.bin","WS2_32.dll"
