"dll","import_name","kind"
"ADVAPI32.dll","CryptAcquireContextA","name"
"ADVAPI32.dll","CryptCreateHash","name"
"ADVAPI32.dll","CryptDestroyHash","name"
"ADVAPI32.dll","CryptGenRandom","name"
"ADVAPI32.dll","CryptGetHashParam","name"
"ADVAPI32.dll","CryptHashData","name"
"ADVAPI32.dll","CryptReleaseContext","name"
"ADVAPI32.dll","DeregisterEventSource","name"
"ADVAPI32.dll","RegCloseKey","name"
"ADVAPI32.dll","RegEnumValueA","name"
"ADVAPI32.dll","RegGetValueW","name"
"ADVAPI32.dll","RegisterEventSourceW","name"
"ADVAPI32.dll","RegOpenKeyExA","name"
"ADVAPI32.dll","RegOpenKeyExW","name"
"ADVAPI32.dll","RegQueryValueExA","name"
"ADVAPI32.dll","RegQueryValueExW","name"
"ADVAPI32.dll","RegSetValueExW","name"
"ADVAPI32.dll","ReportEventW","name"
"KERNEL32.dll","CreateFileA","name"
"KERNEL32.dll","CreateFileW","name"
"KERNEL32.dll","DeviceIoControl","name"
"KERNEL32.dll","GetProcAddress","name"
"KERNEL32.dll","VirtualProtect","name"
