"file","section","raw_size","entropy","characteristics"
"PhoenixMiner.exe.bin",".text","4384256","6.3826","0x60000020"
"PhoenixMiner.exe.bin",".rdata","3533824","7.5077","0x40000040"
"PhoenixMiner.exe.bin",".data","355328","4.6504","0xC0000040"
"PhoenixMiner.exe.bin",".pdata","165376","6.368","0x40000040"
"PhoenixMiner.exe.bin",".tls","512","0.0204","0xC0000040"
"PhoenixMiner.exe.bin",".gfids","4096","3.9646","0x40000040"
"PhoenixMiner.exe.bin",".rsrc","512","4.7177","0x40000040"
"PhoenixMiner.exe.bin",".reloc","32768","5.4626","0x42000040"
"EIO.dll",".text","45056","6.3798","0x60000020"
"EIO.dll",".rdata","8192","4.1417","0x40000040"
"EIO.dll",".data","16384","1.3034","0xC0000040"
"EIO.dll",".rsrc","16384","4.5462","0x40000040"
"EIO.dll",".reloc","8192","3.3425","0x42000040"
"EIO.exe",".text","64000","6.6105","0x60000020"
"EIO.exe",".rdata","25600","5.2134","0x40000040"
"EIO.exe",".data","2048","2.0394","0xC0000040"
"EIO.exe",".gfids","512","1.4145","0x40000040"
"EIO.exe",".rsrc","512","4.7101","0x40000040"
"EIO.exe",".reloc","4096","6.3067","0x42000040"
"IOMap64.sys(zipmem)",".text","11264","6.2319","0x68000020"
"IOMap64.sys(zipmem)",".rdata","1024","3.1437","0x48000040"
"IOMap64.sys(zipmem)",".data","512","0.3014","0xC8000040"
"IOMap64.sys(zipmem)",".pdata","512","2.9916","0x48000040"
"IOMap64.sys(zipmem)","INIT","1024","4.0509","0xE2000020"
"IOMap64.sys(zipmem)",".rsrc","1536","2.4364","0x42000040"
