"relative_path","zip_size","exists_on_disk"
"config.txt","812","True"
"doc/API.html","20438","True"
"doc/arguments.html","48947","True"
"doc/config-files.html","10866","True"
"doc/faq.html","11531","True"
"doc/features.html","12276","True"
"doc/genindex.html","6670","True"
"doc/hw-control.html","13234","True"
"doc/index.html","9825","True"
"doc/interactive.html","10640","True"
"doc/intro.html","8935","True"
"doc/quick-start.html","16563","True"
"doc/remote.html","8122","True"
"doc/search.html","7102","True"
"doc/searchindex.js","14327","True"
"doc/troubleshooting.html","10946","True"
"doc/_static/basic.css","12934","True"
"doc/_static/css/badge_only.css","3391","True"
"doc/_static/css/theme.css","118340","True"
"doc/_static/doctools.js","9270","True"
"doc/_static/documentation_options.js","314","True"
"doc/_static/file.png","286","True"
"doc/_static/fonts/fontawesome-webfont.ttf","165548","True"
"doc/_static/jquery-3.4.1.js","280364","True"
"doc/_static/jquery.js","88145","True"
"doc/_static/js/modernizr.min.js","15414","True"
"doc/_static/js/theme.js","4414","True"
"doc/_static/language_data.js","11144","True"
"doc/_static/minus.png","90","True"
"doc/_static/plus.png","90","True"
"doc/_static/pygments.css","4463","True"
"doc/_static/searchtools.js","15987","True"
"doc/_static/underscore-1.3.1.js","35168","True"
"doc/_static/underscore.js","12140","True"
"dpools.txt","1113","True"
"EIO.dll","98304","True"
"EIO.exe","97792","True"
"epools_example.txt","1974","True"
"IOMap64.sys","34064","False"
"PhoenixMiner.exe","8477696","False"
"Readme.txt","52382","True"
"ReleaseNotes.txt","43849","True"
"start_miner.bat","507","True"
"start_miner_etc.bat","485","True"
