callsite_rva,kind,target,op_str
0x00129AA5,rip_indirect,0x004302B8,qword ptr [rip + 0x30680d]
0x00129B07,direct,0x000355E0,0x1400355e0
0x00129BA3,direct,0x00220EB0,0x140220eb0
0x00129BF3,direct,0x003D2F70,0x1403d2f70
0x00129C63,direct,0x003B20D4,0x1403b20d4
0x00129CDA,direct,0x003B20D4,0x1403b20d4
0x00129D1A,direct,0x003DB020,0x1403db020
0x00129D20,direct,0x003DB020,0x1403db020
0x00129D26,direct,0x003DB020,0x1403db020
0x00129D2C,direct,0x003DB020,0x1403db020
0x00129D32,direct,0x003DB020,0x1403db020
0x00129D38,direct,0x003DB020,0x1403db020
0x00129D3E,direct,0x003DB020,0x1403db020
0x00129D44,direct,0x003DB020,0x1403db020
0x00129D65,direct,0x0003E030,0x14003e030
0x00129D6D,direct,0x00062570,0x140062570
0x00129D99,direct,0x003DB020,0x1403db020
0x00129DA8,direct,0x003DB020,0x1403db020
0x00129DB7,direct,0x003DB020,0x1403db020
0x00129DC3,direct,0x003DB020,0x1403db020
0x00129DCC,direct,0x003B20D4,0x1403b20d4
0x00129E20,direct,0x00220F70,0x140220f70
0x0012A08E,direct,0x00056320,0x140056320
0x0012A0B1,direct,0x00226FB0,0x140226fb0
0x0012A0DD,direct,0x003DB020,0x1403db020
0x0012A0EC,direct,0x003DB020,0x1403db020
0x0012A0FB,direct,0x003DB020,0x1403db020
0x0012A107,direct,0x003DB020,0x1403db020
0x0012A110,direct,0x003B20D4,0x1403b20d4
0x0012A157,direct,0x003DB020,0x1403db020
0x0012A166,direct,0x003DB020,0x1403db020
0x0012A175,direct,0x003DB020,0x1403db020
0x0012A181,direct,0x003DB020,0x1403db020
0x0012A18A,direct,0x003B20D4,0x1403b20d4
0x0012A241,direct,0x00220EB0,0x140220eb0
0x0012A475,direct,0x002148E0,0x1402148e0
0x0012A498,direct,0x00226FB0,0x140226fb0
0x0012A4C4,direct,0x003DB020,0x1403db020
0x0012A4D3,direct,0x003DB020,0x1403db020
0x0012A4E2,direct,0x003DB020,0x1403db020
0x0012A4EE,direct,0x003DB020,0x1403db020
0x0012A4F7,direct,0x003B20D4,0x1403b20d4
0x0012A539,direct,0x00046AB0,0x140046ab0
0x0012A5B6,direct,0x00084ED0,0x140084ed0
0x0012A78C,direct,0x00214E40,0x140214e40
0x0012A7AF,direct,0x00226FB0,0x140226fb0
0x0012A7BD,direct,0x00032EF0,0x140032ef0
0x0012A7CB,direct,0x00032EF0,0x140032ef0
0x0012A83C,direct,0x0003A830,0x14003a830
0x0012AAE4,direct,0x000DA890,0x1400da890
0x0012AB07,direct,0x00226FB0,0x140226fb0
0x0012AB15,direct,0x00032EF0,0x140032ef0
0x0012AB23,direct,0x00032EF0,0x140032ef0
0x0012AB91,direct,0x0026D0E0,0x14026d0e0
0x0012AE90,direct,0x000B27F0,0x1400b27f0
0x0012AEB3,direct,0x00226FB0,0x140226fb0
0x0012AEC1,direct,0x00032EF0,0x140032ef0
0x0012AECF,direct,0x00032EF0,0x140032ef0
0x0012AF30,direct,0x00084ED0,0x140084ed0
0x0012B0DC,direct,0x000DB850,0x1400db850
0x0012B0FF,direct,0x00226FB0,0x140226fb0
0x0012B10D,direct,0x00032EF0,0x140032ef0
0x0012B11B,direct,0x00032EF0,0x140032ef0
0x0012B123,direct,0x00390FE8,0x140390fe8
0x0012B138,direct,0x00129720,0x140129720
0x0012B151,direct,0x00127DA0,0x140127da0
0x0012B15F,direct,0x00032EF0,0x140032ef0
0x0012B175,memory_indirect,[rax+0x10],qword ptr [rax + 0x10]
0x0012B188,memory_indirect,[rax],qword ptr [rax]
0x0012B193,direct,0x00129720,0x140129720
0x0012B1A3,direct,0x00058590,0x140058590
0x0012B1AB,direct,0x00062570,0x140062570
0x0012B1B9,direct,0x00032EF0,0x140032ef0
0x0012B1DE,direct,0x0003E030,0x14003e030
0x0012B1F8,direct,0x00062570,0x140062570
0x0012B200,direct,0x00062570,0x140062570
0x0012B294,direct,0x000355E0,0x1400355e0
0x0012B2CD,direct,0x000354B0,0x1400354b0
0x0012B3F5,direct,0x00128090,0x140128090
0x0012B462,direct,0x000355E0,0x1400355e0
0x0012B482,direct,0x003DF7B4,0x1403df7b4
0x0012B49B,direct,0x003E0554,0x1403e0554
0x0012B4B4,direct,0x00390A74,0x140390a74
0x0012B4B9,direct,0x003DF7B4,0x1403df7b4
0x0012B4CA,direct,0x00390ABC,0x140390abc
0x0012B4DC,direct,0x00032EF0,0x140032ef0
0x0012B7A1,direct,0x0026EBE0,0x14026ebe0
0x0012B86F,direct,0x00129650,0x140129650
0x0012B893,direct,0x0003E030,0x14003e030
0x0012B89E,direct,0x0009D4C0,0x14009d4c0
0x0012B8A9,direct,0x0003E030,0x14003e030
0x0012B8B1,direct,0x00062570,0x140062570
0x0012B8BF,direct,0x00032EF0,0x140032ef0
0x0012B8CD,direct,0x00032EF0,0x140032ef0
0x0012B8E5,direct,0x00127C30,0x140127c30
0x0012B92A,direct,0x000354B0,0x1400354b0
0x0012B989,direct,0x00128330,0x140128330
0x0012B9C8,direct,0x000354B0,0x1400354b0
0x0012BA9D,direct,0x00128170,0x140128170
0x0012BAC7,direct,0x00034800,0x140034800
0x0012BAE3,direct,0x000354B0,0x1400354b0
0x0012BB90,direct,0x00128250,0x140128250
0x0012BBF7,direct,0x001BFED0,0x1401bfed0
0x0012BC13,direct,0x00029C50,0x140029c50
0x0012BD47,direct,0x00140DF0,0x140140df0
0x0012BD63,direct,0x00029C50,0x140029c50
0x0012BE57,direct,0x001294C0,0x1401294c0
0x0012BE6E,direct,0x00029C50,0x140029c50
0x0012BE8F,direct,0x00032EF0,0x140032ef0
0x0012BEA5,direct,0x00032EF0,0x140032ef0
0x0012BEBA,direct,0x00032EF0,0x140032ef0
0x0012BED5,direct,0x00122EE0,0x140122ee0
0x0012BEDD,direct,0x00390FE8,0x140390fe8
0x0012BF9E,direct,0x0005CAF0,0x14005caf0
0x0012BFB9,memory_indirect,[rax+0x8],qword ptr [rax + 8]
0x0012BFD0,direct,0x001275A0,0x1401275a0
0x0012BFE0,direct,0x00032EF0,0x140032ef0
0x0012BFF6,memory_indirect,[rax+0x10],qword ptr [rax + 0x10]
0x0012C009,memory_indirect,[rax],qword ptr [rax]
0x0012C5CE,direct,0x001B8610,0x1401b8610
0x0012C5E8,direct,0x0003E030,0x14003e030
0x0012C5F0,direct,0x00062570,0x140062570
0x0012C5FE,direct,0x00032EF0,0x140032ef0
0x0012C60C,direct,0x00032EF0,0x140032ef0
0x0012C61A,direct,0x00032EF0,0x140032ef0
0x0012C625,direct,0x00067930,0x140067930
0x0012C633,direct,0x00032EF0,0x140032ef0
0x0012C668,direct,0x000355E0,0x1400355e0
0x0012C684,direct,0x000354B0,0x1400354b0
0x0012C696,direct,0x00122EE0,0x140122ee0
0x0012C6B8,direct,0x00032EF0,0x140032ef0
0x0012C6C4,direct,0x001287C0,0x1401287c0
0x0012C6D2,direct,0x00032EF0,0x140032ef0
0x0012C6E0,direct,0x00032EF0,0x140032ef0
0x0012C700,direct,0x0005FD40,0x14005fd40
0x0012C71B,direct,0x0006F460,0x14006f460
0x0012C736,direct,0x00032EF0,0x140032ef0
0x0012C782,direct,0x001272F0,0x1401272f0
0x0012C79A,direct,0x00035230,0x140035230
0x0012C7A8,direct,0x00032EF0,0x140032ef0
0x0012C7BE,direct,0x0009B650,0x14009b650
0x0012C911,direct,0x00129400,0x140129400
0x0012C921,direct,0x00043F90,0x140043f90
0x0012C92E,direct,0x00032EF0,0x140032ef0
0x0012C9A6,direct,0x000354B0,0x1400354b0
0x0012C9C0,direct,0x0005FD40,0x14005fd40
0x0012CA0D,direct,0x00034800,0x140034800
0x0012CA35,direct,0x000355E0,0x1400355e0
0x0012CA4B,direct,0x000AA3D0,0x1400aa3d0
0x0012CA59,direct,0x00032EF0,0x140032ef0
0x0012CA7D,direct,0x000B13D0,0x1400b13d0
0x0012CA8F,direct,0x000AE760,0x1400ae760
0x0012CAA4,direct,0x00032EF0,0x140032ef0
0x0012CAC4,direct,0x0005FD40,0x14005fd40
0x0012CADF,direct,0x0006F460,0x14006f460
0x0012CAFA,direct,0x0009C5F0,0x14009c5f0
0x0012CB08,direct,0x00032EF0,0x140032ef0
0x0012CB16,direct,0x00032EF0,0x140032ef0
0x0012CB36,direct,0x0005FD40,0x14005fd40
0x0012CB51,direct,0x0006F460,0x14006f460
0x0012CB6C,direct,0x00032EF0,0x140032ef0
0x0012CBEB,direct,0x00128410,0x140128410
0x0012CC0E,direct,0x001272F0,0x1401272f0
0x0012CC26,direct,0x00035230,0x140035230
0x0012CC34,direct,0x00032EF0,0x140032ef0
0x0012CC6B,direct,0x000AEA20,0x1400aea20
0x0012CC9B,direct,0x0005FD40,0x14005fd40
0x0012CCBF,direct,0x0006F460,0x14006f460
0x0012CCE5,direct,0x000ACD70,0x1400acd70
0x0012CD04,direct,0x001277A0,0x1401277a0
0x0012CEA4,direct,0x00085060,0x140085060
0x0012CEBF,direct,0x00127A70,0x140127a70
0x0012CECD,direct,0x00032EF0,0x140032ef0
0x0012CF83,direct,0x0026E960,0x14026e960
0x0012CFA6,direct,0x00127B50,0x140127b50
0x0012CFB4,direct,0x00032EF0,0x140032ef0
0x0012D66B,direct,0x00129330,0x140129330
0x0012D67E,direct,0x00040050,0x140040050
0x0012D68C,direct,0x00032EF0,0x140032ef0
0x0012D6AE,direct,0x00034800,0x140034800
0x0012D6F0,direct,0x00035360,0x140035360
0x0012D707,direct,0x00035230,0x140035230
0x0012D793,direct,0x0026E7F0,0x14026e7f0
0x0012D7AE,direct,0x00040530,0x140040530
0x0012D7BC,direct,0x00032EF0,0x140032ef0
0x0012D7CA,direct,0x00032EF0,0x140032ef0
0x0012D7F0,direct,0x00034800,0x140034800
0x0012D818,direct,0x000355E0,0x1400355e0
0x0012D836,direct,0x000A95B0,0x1400a95b0
0x0012D84A,direct,0x00032EF0,0x140032ef0
0x0012D84F,direct,0x00221680,0x140221680
0x0012D974,direct,0x00057250,0x140057250
0x0012D98F,direct,0x00127900,0x140127900
0x0012D99D,direct,0x00032EF0,0x140032ef0
0x0012D9AB,direct,0x00067930,0x140067930
0x0012D9B9,direct,0x00032EF0,0x140032ef0
0x0012D9C4,direct,0x00067930,0x140067930
0x0012D9D2,direct,0x0009C5F0,0x14009c5f0
0x0012D9E0,direct,0x00032EF0,0x140032ef0
0x0012D9EE,direct,0x00032EF0,0x140032ef0
0x0012D9F9,direct,0x00067930,0x140067930
0x0012DA07,direct,0x00032EF0,0x140032ef0
0x0012DA1E,direct,0x003B24C0,0x1403b24c0
