"import_name","count","first_rva","last_rva"
"GetProcAddress","444","0x0000276D","0x003F9546"
"CreateFileW","10","0x0022487C","0x00405C79"
"DeviceIoControl","10","0x001C1C37","0x0028CB1F"
"LoadLibraryExW","8","0x0000B8F8","0x003F94E1"
"LoadLibraryW","7","0x003381FB","0x003C6008"
"LoadLibraryA","5","0x00186AE8","0x003837B1"
"CreateFileA","3","0x0006F818","0x001C4290"
"LoadLibraryExA","3","0x001D1279","0x003904B7"
"CompareStringW","2","0x003B16A7","0x003F96DE"
"GetCommandLineA","1","0x003E16B4","0x003E16B4"
"GetCommandLineW","1","0x003E16C1","0x003E16C1"
