"range_id","range_label","range_begin","range_end","caller_rva","target_rva","type","target_func_begin","target_func_end","target_func_role","target_func_score","target_func_apis"
"TR01","transport_wrapper_A","0x001C4010","0x001C44E3","0x001C40BC","0x00178BB0","CALL","","","","",""
"TR01","transport_wrapper_A","0x001C4010","0x001C44E3","0x001C40F0","indirect","CALL_IND","","","","",""
"TR01","transport_wrapper_A","0x001C4010","0x001C44E3","0x001C411C","0x003DB020","CALL","","","","",""
"TR01","transport_wrapper_A","0x001C4010","0x001C44E3","0x001C412B","0x003DB020","CALL","","","","",""
"TR01","transport_wrapper_A","0x001C4010","0x001C44E3","0x001C413A","0x003DB020","CALL","","","","",""
"TR01","transport_wrapper_A","0x001C4010","0x001C44E3","0x001C4146","0x003DB020","CALL","","","","",""
"TR01","transport_wrapper_A","0x001C4010","0x001C44E3","0x001C414F","0x003B20D4","CALL","","","","",""
"TR01","transport_wrapper_A","0x001C4010","0x001C44E3","0x001C4174","0x001C0670","CALL","","","","",""
"TR01","transport_wrapper_A","0x001C4010","0x001C44E3","0x001C425E","0x00178720","CALL","","","","",""
"TR01","transport_wrapper_A","0x001C4010","0x001C44E3","0x001C4290","indirect","CALL_IND","","","","",""
"TR01","transport_wrapper_A","0x001C4010","0x001C44E3","0x001C42A1","0x00032EF0","CALL","","","","",""
"TR01","transport_wrapper_A","0x001C4010","0x001C44E3","0x001C42B7","indirect","CALL_IND","","","","",""
"TR01","transport_wrapper_A","0x001C4010","0x001C44E3","0x001C4434","0x001A5430","CALL","","","","",""
"TR01","transport_wrapper_A","0x001C4010","0x001C44E3","0x001C444C","0x001C01D0","CALL","","","","",""
"TR01","transport_wrapper_A","0x001C4010","0x001C44E3","0x001C4456","0x00032EF0","CALL","","","","",""
"TR01","transport_wrapper_A","0x001C4010","0x001C44E3","0x001C44A1","indirect","CALL_IND","","","","",""
"TR01","transport_wrapper_A","0x001C4010","0x001C44E3","0x001C44B5","0x001C6BB0","CALL","0x001C6BB0","0x001C6C93","ioctl_path_candidate","18","DeviceIoControl:2"
"TR01","transport_wrapper_A","0x001C4010","0x001C44E3","0x001C44C9","0x003B24C0","CALL","","","","",""
"TR04","transport_wrapper_B","0x0028CA90","0x0028CB6B","0x0028CACC","indirect","CALL_IND","","","","",""
"TR04","transport_wrapper_B","0x0028CA90","0x0028CB6B","0x0028CAE5","0x003B2624","CALL","","","","",""
"TR04","transport_wrapper_B","0x0028CA90","0x0028CB6B","0x0028CB1F","indirect","CALL_IND","","","","",""
"TR04","transport_wrapper_B","0x0028CA90","0x0028CB6B","0x0028CB49","0x003B20DC","CALL","","","","",""
"TR04","transport_wrapper_B","0x0028CA90","0x0028CB6B","0x0028CB58","indirect","CALL_IND","","","","",""
"TR02","ioctl_cluster_A1","0x001C1BB0","0x001C1CE0","0x001C1BD9","indirect","JMP_IND","","","","",""
"TR02","ioctl_cluster_A1","0x001C1BB0","0x001C1CE0","0x001C1C37","indirect","CALL_IND","","","","",""
"TR02","ioctl_cluster_A1","0x001C1BB0","0x001C1CE0","0x001C1C42","0x001C1DA0","CALL","0x001C1DA0","0x001C1E31","ioctl_path_candidate","9","DeviceIoControl:1"
"TR02","ioctl_cluster_A1","0x001C1BB0","0x001C1CE0","0x001C1CA0","indirect","CALL_IND","","","","",""
"TR02","ioctl_cluster_A1","0x001C1BB0","0x001C1CE0","0x001C1CAA","0x001C1DA0","CALL","0x001C1DA0","0x001C1E31","ioctl_path_candidate","9","DeviceIoControl:1"
"TR02","ioctl_cluster_A1","0x001C1BB0","0x001C1CE0","0x001C1CC6","0x003B24C0","CALL","","","","",""
"TR03","ioctl_cluster_B","0x001C6BB0","0x001C6C93","0x001C6C1C","indirect","CALL_IND","","","","",""
"TR03","ioctl_cluster_B","0x001C6BB0","0x001C6C93","0x001C6C65","indirect","CALL_IND","","","","",""
"TR03","ioctl_cluster_B","0x001C6BB0","0x001C6C93","0x001C6C85","0x003B24C0","CALL","","","","",""
"PR01","parser_cmdline","0x003E16B0","0x003E16D5","0x003E16B4","indirect","CALL_IND","","","","",""
"PR01","parser_cmdline","0x003E16B0","0x003E16D5","0x003E16C1","indirect","CALL_IND","","","","",""
"PR02","parser_compare_A","0x003B160C","0x003B16C8","0x003B1643","0x003B2E14","CALL","","","","",""
"PR02","parser_compare_A","0x003B160C","0x003B16C8","0x003B167C","indirect","CALL_IND","","","","",""
"PR02","parser_compare_A","0x003B160C","0x003B16C8","0x003B1680","0x003B16C8","CALL","","","","",""
"PR02","parser_compare_A","0x003B160C","0x003B16C8","0x003B16A7","indirect","CALL_IND","","","","",""
"PR03","parser_compare_B","0x003F9610","0x003F96FF","0x003F964E","0x003F9424","CALL","0x003F9424","0x003F95C4","unknown","6","LoadLibraryExW:2; GetProcAddress:1"
"PR03","parser_compare_B","0x003F9610","0x003F96FF","0x003F965E","indirect","CALL_IND","","","","",""
"PR03","parser_compare_B","0x003F9610","0x003F96FF","0x003F96AE","indirect","CALL_IND","","","","",""
"PR03","parser_compare_B","0x003F9610","0x003F96FF","0x003F96B7","0x003F9EEC","CALL","","","","",""
"PR03","parser_compare_B","0x003F9610","0x003F96FF","0x003F96DE","indirect","CALL_IND","","","","",""
