"block_id","start_rva","end_rva","span_bytes","callsite_count","weighted_score","role_guess","has_cmdline","has_compare","has_createfile","has_deviceiocontrol","top_apis"
"B001","0x0000276D","0x00005332","11205","250","750","unknown","False","False","False","False","GetProcAddress:250"
"B007","0x00186AE8","0x00190316","38958","57","170","unknown","False","False","False","False","GetProcAddress:56; LoadLibraryA:1"
"B022","0x00395024","0x003954B6","1170","40","120","unknown","False","False","False","False","GetProcAddress:40"
"B025","0x003C5117","0x003C60AF","3992","28","81","unknown","False","False","False","False","GetProcAddress:25; LoadLibraryExW:2; LoadLibraryW:1"
"B017","0x003381FB","0x00338653","1112","24","68","unknown","False","False","False","False","GetProcAddress:20; LoadLibraryW:4"
"B012","0x001D1279","0x001D34ED","8820","20","58","unknown","False","False","False","False","GetProcAddress:18; LoadLibraryExA:2"
"B009","0x001C1C37","0x001C1F3E","775","6","54","ioctl_path_candidate","False","False","False","True","DeviceIoControl:6"
"B018","0x003483D9","0x00348F48","2927","12","33","unknown","False","False","False","False","GetProcAddress:9; LoadLibraryW:2; LoadLibraryA:1"
"B015","0x0028CACC","0x0028D43A","2414","4","24","transport_wrapper_candidate","False","False","True","True","CreateFileW:3; DeviceIoControl:1"
"B032","0x00404EE9","0x00405C79","3472","4","20","unknown","False","False","True","False","CreateFileW:4"
"B010","0x001C40F0","0x001C44A1","945","3","19","transport_wrapper_candidate","False","False","True","True","CreateFileA:2; DeviceIoControl:1"
"B011","0x001C6C1C","0x001C6C65","73","2","18","ioctl_path_candidate","False","False","False","True","DeviceIoControl:2"
"B023","0x003B16A7","0x003B1DA4","1789","4","15","unknown","False","True","False","False","GetProcAddress:3; CompareStringW:1"
"B024","0x003B5608","0x003B5E73","2155","5","14","unknown","False","False","False","False","GetProcAddress:4; LoadLibraryExW:1"
"B027","0x003E16B4","0x003E16C1","13","2","14","cli_entry_candidate","True","False","False","False","GetCommandLineW:1; GetCommandLineA:1"
"B030","0x003F94C0","0x003F96DE","542","4","13","unknown","False","True","False","False","LoadLibraryExW:2; CompareStringW:1; GetProcAddress:1"
"B021","0x003900A8","0x003905A3","1275","4","11","unknown","False","False","False","False","GetProcAddress:3; LoadLibraryExA:1"
"B020","0x00383679","0x003837B1","312","4","10","unknown","False","False","False","False","LoadLibraryA:2; GetProcAddress:2"
"B005","0x0006B5E2","0x0006C2EE","3340","3","9","unknown","False","False","False","False","GetProcAddress:3"
"B003","0x000289FB","0x00028ADB","224","3","9","unknown","False","False","False","False","GetProcAddress:3"
"B026","0x003D3FE8","0x003D407F","151","3","7","unknown","False","False","False","False","LoadLibraryExW:2; GetProcAddress:1"
"B013","0x001FE21A","0x001FE396","380","2","5","unknown","False","False","False","False","GetProcAddress:1; LoadLibraryA:1"
"B014","0x0022487C","0x0022487C","0","1","5","unknown","False","False","True","False","CreateFileW:1"
"B029","0x003EEE65","0x003EEE65","0","1","5","unknown","False","False","True","False","CreateFileW:1"
"B031","0x003FF82D","0x003FF82D","0","1","5","unknown","False","False","True","False","CreateFileW:1"
"B006","0x0006F818","0x0006F818","0","1","5","unknown","False","False","True","False","CreateFileA:1"
"B028","0x003EA2B2","0x003EA2B2","0","1","3","unknown","False","False","False","False","GetProcAddress:1"
"B019","0x0036DFD2","0x0036DFD2","0","1","3","unknown","False","False","False","False","GetProcAddress:1"
"B004","0x000388C2","0x000388C2","0","1","3","unknown","False","False","False","False","GetProcAddress:1"
"B016","0x002C20E1","0x002C20E1","0","1","3","unknown","False","False","False","False","GetProcAddress:1"
"B008","0x001A3184","0x001A3184","0","1","3","unknown","False","False","False","False","GetProcAddress:1"
"B002","0x0000B8F8","0x0000B8F8","0","1","2","unknown","False","False","False","False","LoadLibraryExW:1"
