"block_id","start_rva","end_rva","span_bytes","callsite_count","weighted_score","role_guess","has_cmdline","has_compare","has_createfile","has_deviceiocontrol","top_apis"
"B009","0x001C1C37","0x001C1F3E","775","6","54","ioctl_path_candidate","False","False","False","True","DeviceIoControl:6"
"B015","0x0028CACC","0x0028D43A","2414","4","24","transport_wrapper_candidate","False","False","True","True","CreateFileW:3; DeviceIoControl:1"
"B032","0x00404EE9","0x00405C79","3472","4","20","unknown","False","False","True","False","CreateFileW:4"
"B010","0x001C40F0","0x001C44A1","945","3","19","transport_wrapper_candidate","False","False","True","True","CreateFileA:2; DeviceIoControl:1"
"B011","0x001C6C1C","0x001C6C65","73","2","18","ioctl_path_candidate","False","False","False","True","DeviceIoControl:2"
"B023","0x003B16A7","0x003B1DA4","1789","4","15","unknown","False","True","False","False","GetProcAddress:3; CompareStringW:1"
"B027","0x003E16B4","0x003E16C1","13","2","14","cli_entry_candidate","True","False","False","False","GetCommandLineW:1; GetCommandLineA:1"
"B030","0x003F94C0","0x003F96DE","542","4","13","unknown","False","True","False","False","LoadLibraryExW:2; CompareStringW:1; GetProcAddress:1"
"B031","0x003FF82D","0x003FF82D","0","1","5","unknown","False","False","True","False","CreateFileW:1"
"B006","0x0006F818","0x0006F818","0","1","5","unknown","False","False","True","False","CreateFileA:1"
"B014","0x0022487C","0x0022487C","0","1","5","unknown","False","False","True","False","CreateFileW:1"
"B029","0x003EEE65","0x003EEE65","0","1","5","unknown","False","False","True","False","CreateFileW:1"
