"function_begin","function_end","function_size","callsite_count","weighted_score","role_guess","has_cmdline","has_compare","has_createfile","has_deviceiocontrol","apis"
"0x00002750","0x0000535A","11274","250","500","unknown","False","False","False","False","GetProcAddress:250"
"0x00186B8A","0x0019038B","38913","56","112","unknown","False","False","False","False","GetProcAddress:56"
"0x00395004","0x003954D2","1230","40","80","unknown","False","False","False","False","GetProcAddress:40"
"0x003381A0","0x00338B05","2405","24","48","unknown","False","False","False","False","GetProcAddress:20; LoadLibraryW:4"
"0x001D123E","0x001D353C","8958","20","40","unknown","False","False","False","False","GetProcAddress:18; LoadLibraryExA:2"
"0x003C50E8","0x003C5799","1713","17","34","unknown","False","False","False","False","GetProcAddress:17"
"0x001C4010","0x001C44E3","1235","3","19","transport_wrapper_candidate","False","False","True","True","CreateFileA:2; DeviceIoControl:1"
"0x001C6BB0","0x001C6C93","227","2","18","ioctl_path_candidate","False","False","False","True","DeviceIoControl:2"
"0x001C1BB0","0x001C1CE0","304","2","18","ioctl_path_candidate","False","False","False","True","DeviceIoControl:2"
"0x003C5FC8","0x003C60CF","263","8","16","unknown","False","False","False","False","GetProcAddress:6; LoadLibraryExW:1; LoadLibraryW:1"
"0x00404DE8","0x004051D7","1007","3","15","unknown","False","False","True","False","CreateFileW:3"
"0x0028CA90","0x0028CB6B","219","2","14","transport_wrapper_candidate","False","False","True","True","DeviceIoControl:1; CreateFileW:1"
"0x003E16B0","0x003E16D5","37","2","14","unknown","True","False","False","False","GetCommandLineW:1; GetCommandLineA:1"
"0x001C1ED0","0x001C1F62","146","1","9","ioctl_path_candidate","False","False","False","True","DeviceIoControl:1"
"0x001C1E40","0x001C1ECE","142","1","9","ioctl_path_candidate","False","False","False","True","DeviceIoControl:1"
"0x001C1CE0","0x001C1D98","184","1","9","ioctl_path_candidate","False","False","False","True","DeviceIoControl:1"
"0x001C1DA0","0x001C1E31","145","1","9","ioctl_path_candidate","False","False","False","True","DeviceIoControl:1"
"0x003B55E4","0x003B56F0","268","3","6","unknown","False","False","False","False","GetProcAddress:3"
"0x003F9424","0x003F95C4","416","3","6","unknown","False","False","False","False","LoadLibraryExW:2; GetProcAddress:1"
"0x00348E91","0x00348FA5","276","3","6","unknown","False","False","False","False","GetProcAddress:3"
"0x003B1D38","0x003B1E56","286","3","6","unknown","False","False","False","False","GetProcAddress:3"
"0x003D3F3C","0x003D4104","456","3","6","unknown","False","False","False","False","LoadLibraryExW:2; GetProcAddress:1"
"0x003C579C","0x003C58D1","309","3","6","unknown","False","False","False","False","GetProcAddress:2; LoadLibraryExW:1"
"0x0006A930","0x0006E7E8","16056","3","6","unknown","False","False","False","False","GetProcAddress:3"
"0x003F9610","0x003F96FF","239","1","6","unknown","False","True","False","False","CompareStringW:1"
"0x003B160C","0x003B16C8","188","1","6","unknown","False","True","False","False","CompareStringW:1"
"0x00405C50","0x00405C8B","59","1","5","unknown","False","False","True","False","CreateFileW:1"
"0x003EEDA0","0x003EEF5E","446","1","5","unknown","False","False","True","False","CreateFileW:1"
"0x003FF804","0x003FF83F","59","1","5","unknown","False","False","True","False","CreateFileW:1"
"0x0028CB70","0x0028CD35","453","1","5","unknown","False","False","True","False","CreateFileW:1"
"0x002247F4","0x00224933","319","1","5","unknown","False","False","True","False","CreateFileW:1"
"0x0006F5B0","0x0006F931","897","1","5","unknown","False","False","True","False","CreateFileA:1"
"0x0028D350","0x0028D530","480","1","5","unknown","False","False","True","False","CreateFileW:1"
"0x00390360","0x00390659","761","2","4","unknown","False","False","False","False","GetProcAddress:1; LoadLibraryExA:1"
"0x00390060","0x003900FB","155","2","4","unknown","False","False","False","False","GetProcAddress:2"
"0x00348C3B","0x00348D48","269","2","4","unknown","False","False","False","False","GetProcAddress:2"
"0x001FE160","0x001FE730","1488","2","4","unknown","False","False","False","False","GetProcAddress:1; LoadLibraryA:1"
"0x001A306D","0x001A31DF","370","1","2","unknown","False","False","False","False","GetProcAddress:1"
"0x003B5E20","0x003B5EC8","168","1","2","unknown","False","False","False","False","LoadLibraryExW:1"
"0x00186930","0x00186B8A","602","1","2","unknown","False","False","False","False","LoadLibraryA:1"
"0x000289E0","0x00028A0D","45","1","2","unknown","False","False","False","False","GetProcAddress:1"
"0x0000B880","0x0000B922","162","1","2","unknown","False","False","False","False","LoadLibraryExW:1"
"0x00348B70","0x00348BF1","129","1","2","unknown","False","False","False","False","LoadLibraryW:1"
"0x00028A10","0x00028A3D","45","1","2","unknown","False","False","False","False","GetProcAddress:1"
"0x003EA27C","0x003EA2E8","108","1","2","unknown","False","False","False","False","GetProcAddress:1"
"0x00038730","0x00038A37","775","1","2","unknown","False","False","False","False","GetProcAddress:1"
"0x00028AC0","0x00028AED","45","1","2","unknown","False","False","False","False","GetProcAddress:1"
"0x003485D0","0x003486D8","264","1","2","unknown","False","False","False","False","GetProcAddress:1"
"0x0036DED0","0x0036E005","309","1","2","unknown","False","False","False","False","GetProcAddress:1"
"0x00383671","0x003836B7","70","1","2","unknown","False","False","False","False","GetProcAddress:1"
"0x00348BF1","0x00348C3B","74","1","2","unknown","False","False","False","False","GetProcAddress:1"
"0x00348DE0","0x00348E48","104","1","2","unknown","False","False","False","False","LoadLibraryW:1"
"0x00348E48","0x00348E91","73","1","2","unknown","False","False","False","False","GetProcAddress:1"
"0x003836B7","0x003836CD","22","1","2","unknown","False","False","False","False","LoadLibraryA:1"
"0x002C2090","0x002C2212","386","1","2","unknown","False","False","False","False","GetProcAddress:1"
"0x003486E0","0x003487E8","264","1","2","unknown","False","False","False","False","GetProcAddress:1"
"0x003B58CC","0x003B5A17","331","1","2","unknown","False","False","False","False","GetProcAddress:1"
"0x003836CD","0x00383705","56","1","2","unknown","False","False","False","False","GetProcAddress:1"
"0x0038371F","0x003837C8","169","1","2","unknown","False","False","False","False","LoadLibraryA:1"
"0x00348380","0x003484CC","332","1","2","unknown","False","False","False","False","LoadLibraryA:1"
