"global_label","global_rva","access_type","instr_rva","op_bytes","func_begin","func_end","func_size","func_label"
"argv_count","0x007EDB3C","LEA","0x003E16D8","48 8D 05","","","0",""
"argv_count","0x007EDB3C","unknown","0x003F38D0","00 89 05","0x003F37E4","0x003F395A","374","ARGT01_tokenizer"
"argv_count","0x007EDB3C","unknown","0x003F3922","F4 89 0D","0x003F37E4","0x003F395A","374","ARGT01_tokenizer"
"argv_ptr_table","0x007EDB40","LEA","0x003E16E0","48 8D 05","","","0",""
"argv_ptr_table","0x007EDB40","WRITE_64","0x003F38CA","48 89 1D","0x003F37E4","0x003F395A","374","ARGT01_tokenizer"
"argv_ptr_table","0x007EDB40","WRITE_64","0x003F392F","48 89 15","0x003F37E4","0x003F395A","374","ARGT01_tokenizer"
"argv_ptr_table","0x007EDB40","READ_64","0x003F44BD","48 8B 0D","0x003F4464","0x003F44F2","142",""
"argv_ptr_table","0x007EDB40","WRITE_64","0x003F44D7","48 89 1D","0x003F4464","0x003F44F2","142",""
"cmdlineA_ptr","0x007EDB50","WRITE_64","0x003E16BA","48 89 05","0x003E16B0","0x003E16D5","37","PR01_parser_cmdline"
"cmdlineA_ptr","0x007EDB50","READ_64","0x003F3835","48 8B 35","0x003F37E4","0x003F395A","374","ARGT01_tokenizer"
"cmdlineW_ptr","0x007EDB58","WRITE_64","0x003E16C7","48 89 05","0x003E16B0","0x003E16D5","37","PR01_parser_cmdline"
"fallback_buf","0x007EDB60","LEA","0x003E16E8","48 8D 05","","","0",""
"fallback_buf","0x007EDB60","WRITE_64","0x003F383E","48 89 1D","0x003F37E4","0x003F395A","374","ARGT01_tokenizer"
