"region","instr_rva","op","target_rva","func_begin","func_end","func_size"
"PR02_and_extend","0x003B159C","LEA","0x0070F0F0","0x003B1580","0x003B160A","138"
"PR02_and_extend","0x003B1625","READ","0x007ECF18","0x003B160C","0x003B16C8","188"
"PR02_and_extend","0x003B16E3","LEA","0x0070E2B0","0x003B16C8","0x003B16F9","49"
"PR02_and_extend","0x003B1715","READ","0x007ECF20","0x003B16FC","0x003B1777","123"
"PR02_and_extend","0x003B1791","READ","0x007ECF28","0x003B1778","0x003B1834","188"
"PR02_callers","0x003B1D4A","LEA","0x007ED118","0x003B1D38","0x003B1E56","286"
"PR02_callers","0x003B1D5B","LEA","0x006C8CC8","0x003B1D38","0x003B1E56","286"
"PR02_callers","0x003B1D74","LEA","0x006CEDD8","0x003B1D38","0x003B1E56","286"
"PR02_callers","0x003B1D84","LEA","0x006CEDB8","0x003B1D38","0x003B1E56","286"
"PR02_callers","0x003B1D97","LEA","0x006CED80","0x003B1D38","0x003B1E56","286"
"PR02_callers","0x003B1DCC","LEA","0x007ED140","0x003B1D38","0x003B1E56","286"
"PR02_callers","0x003B1DD5","READ","0x007D68F0","0x003B1D38","0x003B1E56","286"
"PR02_callers","0x003B1DF4","WRITE","0x007ED150","0x003B1D38","0x003B1E56","286"
"PR02_callers","0x003B1DFB","WRITE","0x007ED158","0x003B1D38","0x003B1E56","286"
"PR02_callers","0x003B1E02","LEA","0x003B1E58","0x003B1D38","0x003B1E56","286"
"PR02_callers","0x003B1E32","WRITE","0x007ED148","0x003B1D38","0x003B1E56","286"
"PR02_callers","0x003B1E5C","LEA","0x007ED118","0x003B1E58","0x003B1E80","40"
"PR02_callers","0x003B1E69","READ","0x007ED148","0x003B1E58","0x003B1E80","40"
"PR02_callers","0x003B1E89","LEA","0x007ED118","0x003B1E80","0x003B1EB0","48"
"PR02_callers","0x003B1E99","LEA","0x007ED118","0x003B1E80","0x003B1EB0","48"
"PR02_callers","0x003B1EB9","LEA","0x007ED118","0x003B1EB0","0x003B1F10","96"
"PR02_callers","0x003B1ECC","LEA","0x007ED118","0x003B1EB0","0x003B1F10","96"
"PR02_callers","0x003B1F19","LEA","0x007ED118","0x003B1F10","0x003B1F77","103"
"PR02_callers","0x003B1F64","LEA","0x007ED118","0x003B1F10","0x003B1F77","103"
"PR02_callers","0x003B1F7E","READ","0x007ED148","0x003B1F78","0x003B1FD3","91"
"PR02_callers","0x003B1F8A","READ","0x007D68F0","0x003B1F78","0x003B1FD3","91"
"PR02_callers","0x003B1FA8","LEA","0x007ED140","0x003B1F78","0x003B1FD3","91"
"PR02_callers","0x003B1FC0","READ","0x007ED148","0x003B1F78","0x003B1FD3","91"
"PR02_callers","0x003B1FE7","CMP","0x007ED148","0x003B1FD4","0x003B206B","151"
"PR02_callers","0x003B1FF0","READ","0x007D68F0","0x003B1FD4","0x003B206B","151"
"DPRB01_area","0x00393821","LEA","0x00433970","0x00393814","0x00393865","81"
"DPRB01_area","0x00393844","LEA","0x0070B0A8","0x00393814","0x00393865","81"
"DPRB01_area","0x00393872","LEA","0x00433970","0x00393868","0x003938CA","98"
"DPRB01_area","0x00393899","LEA","0x00433A00","0x00393868","0x003938CA","98"
"DPRB01_area","0x003938AA","LEA","0x0070B0A8","0x00393868","0x003938CA","98"
"DPRB01_area","0x0039391C","LEA","0x0078C020","0x00393900","0x0039392E","46"
"DPRB01_area","0x00393962","LEA","0x0043C6B0","","","0"
