"token","source","confidence"
"???EeIo???qH","PhoenixMiner.exe.bin","strongly_inferred"
"??p???1@?FxSeIO\?8??H???t","PhoenixMiner.exe.bin","strongly_inferred"
"?]?+$?kA??eio?<C?????Cz??","PhoenixMiner.exe.bin","strongly_inferred"
"?Z?q??x?EiO???keS??*?7r?fqc??","PhoenixMiner.exe.bin","strongly_inferred"
"]??Eio????9","PhoenixMiner.exe.bin","strongly_inferred"
"666666666666666666666666666666666666666666666666\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\.\ssl\s3_enc.c","PhoenixMiner.exe.bin","strongly_inferred"
"CreateFileA","PhoenixMiner.exe.bin","strongly_inferred"
"CreateFileW","PhoenixMiner.exe.bin","strongly_inferred"
"CreateIoCompletionPort","PhoenixMiner.exe.bin","strongly_inferred"
"DeviceIoControl","PhoenixMiner.exe.bin","strongly_inferred"
"nvcuda.dll","PhoenixMiner.exe.bin","strongly_inferred"
