"relative_path","string_value","tag","confidence"
"EIO.dll","CreateServiceA","api_win","strongly_inferred"
"EIO.dll","DeviceIoControl","api_win","strongly_inferred"
"EIO.dll","GetProcAddress","api_win","strongly_inferred"
"EIO.dll","LoadLibraryA","api_win","strongly_inferred"
"EIO.dll","StartServiceA","api_win","strongly_inferred"
"EIO.dll","=PCIR","transport","strongly_inferred"
"EIO.dll","GetBYTEVGAMMIOData","transport","strongly_inferred"
"EIO.dll","GetDWORDVGAMMIOData","transport","strongly_inferred"
"EIO.dll","GetPcicfgAddr","transport","strongly_inferred"
"EIO.dll","GetVGAMMIOAddress","transport","strongly_inferred"
"EIO.dll","GetWORDVGAMMIOData","transport","strongly_inferred"
"EIO.dll","IsPCIE","transport","strongly_inferred"
"EIO.dll","Read_2_MMIOByte","transport","strongly_inferred"
"EIO.dll","Read_2_MMIODword","transport","strongly_inferred"
"EIO.dll","Read_2_MMIOWord","transport","strongly_inferred"
"EIO.dll","ReadBIOSMMIOByte","transport","strongly_inferred"
"EIO.dll","ReadBIOSMMIODword","transport","strongly_inferred"
"EIO.dll","ReadBIOSMMIOWord","transport","strongly_inferred"
"EIO.dll","ReadMMIOByte","transport","strongly_inferred"
"EIO.dll","ReadMMIODword","transport","strongly_inferred"
"EIO.dll","ReadMMIOWord","transport","strongly_inferred"
"EIO.dll","Write_2_MMIOByte","transport","strongly_inferred"
"EIO.dll","Write_2_MMIODword","transport","strongly_inferred"
"EIO.dll","Write_2_MMIOWord","transport","strongly_inferred"
"EIO.dll","WriteBIOSMMIOByte","transport","strongly_inferred"
"EIO.dll","WriteBIOSMMIODword","transport","strongly_inferred"
"EIO.dll","WriteBIOSMMIOWord","transport","strongly_inferred"
"EIO.dll","WriteBYTEVGAMMIOData","transport","strongly_inferred"
"EIO.dll","WriteDWORDVGAMMIOData","transport","strongly_inferred"
"EIO.dll","WriteMMIOByte","transport","strongly_inferred"
"EIO.dll","WriteMMIODword","transport","strongly_inferred"
"EIO.dll","WriteMMIOWord","transport","strongly_inferred"
"EIO.dll","WriteWORDVGAMMIOData","transport","strongly_inferred"
"EIO.exe","CreateFileW","api_win","strongly_inferred"
"EIO.exe","GetProcAddress","api_win","strongly_inferred"
"EIO.exe","LoadLibraryA","api_win","strongly_inferred"
"EIO.exe","LoadLibraryExW","api_win","strongly_inferred"
"EIO.exe","C:\Projects\AMD\MMIORegMod\Release\EIO.pdb","transport","strongly_inferred"
"PhoenixMiner.exe","nvcuda.dll","api_nv","strongly_inferred"
"PhoenixMiner.exe","CreateFileW","api_win","strongly_inferred"
"PhoenixMiner.exe","DeviceIoControl","api_win","strongly_inferred"
"PhoenixMiner.exe","GetProcAddress","api_win","strongly_inferred"
"PhoenixMiner.exe","LoadLibraryA","api_win","strongly_inferred"
"PhoenixMiner.exe","LoadLibraryExA","api_win","strongly_inferred"
"PhoenixMiner.exe","LoadLibraryExW","api_win","strongly_inferred"
"PhoenixMiner.exe","LoadLibraryW","api_win","strongly_inferred"
"PhoenixMiner.exe",".\crypto\x509v3\v3_pci.c","transport","strongly_inferred"
"PhoenixMiner.exe","??WmbaR??@P??v????%o???k???'","transport","strongly_inferred"
"PhoenixMiner.exe","?pCI?v?S~","transport","strongly_inferred"
"PhoenixMiner.exe","666666666666666666666666666666666666666666666666\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\.\ssl\s3_enc.c","transport","strongly_inferred"
"PhoenixMiner.exe","aMs??s?????????????.?Z?PCI??e???-?C(53?","transport","strongly_inferred"
"PhoenixMiner.exe","cudaDeviceGetByPCIBusId","transport","strongly_inferred"
"PhoenixMiner.exe","cudaDeviceGetPCIBusId","transport","strongly_inferred"
"PhoenixMiner.exe","cuDeviceGetByPCIBusId","transport","strongly_inferred"
"PhoenixMiner.exe","cuDeviceGetPCIBusId","transport","strongly_inferred"
"PhoenixMiner.exe","ioctl callback returned error %d","transport","strongly_inferred"
"PhoenixMiner.exe","ioctlsocket","transport","strongly_inferred"
"PhoenixMiner.exe","PROCESS_PCI_VALUE","transport","strongly_inferred"
"PhoenixMiner.exe","R2I_PCI","transport","strongly_inferred"
"PhoenixMiner.exe","the ioctl callback returned %d","transport","strongly_inferred"
"PhoenixMiner.exe","WSAIoctl","transport","strongly_inferred"
